id,name,catalog_type,catalog_label,quality,territory_id,territory_name,territory_role,claim_nairacoin,lat,lon,image,wikimedia_commons,mapillary,wikipedia
n_2455133040,Enugu SEM Centre,civic,Civic,B,unclaimed,Unclaimed area,unclaimed,36,6.455394,7.494364,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Adff7c3e8-14fb-4940-9581-786a836be940%5D%2FPOI_Picture1,,,
n_2455133044,Enugu sports club golf section,pitch,Pitch,B,unclaimed,Unclaimed area,unclaimed,42,6.4582527,7.4872451,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A4adc4d96-f4c6-40c5-8abc-583570287ad7%5D%2FPOI_Picture1,,,
n_2455133045,Enugu state civil service commission,civic,Civic,B,unclaimed,Unclaimed area,unclaimed,36,6.444576,7.48957,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A522f61fa-1318-4d82-8812-2db84fc766f4%5D%2FPOI_Picture1,,,
n_2455133046,Enugu state transport co limited,civic,Civic,B,unclaimed,Unclaimed area,unclaimed,36,6.446897,7.482409,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A5617021e-cf68-4310-b236-db81dd4816da%5D%2FPOI_Picture1,,,
n_2455133047,Enugu state water corporation headquarters,civic,Civic,B,unclaimed,Unclaimed area,unclaimed,36,6.445834,7.483974,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A1eedcd28-bb2a-47d2-b66a-f488b09f3ec5%5D%2FPOI_Picture1,,,
n_2455133048,Etta Joe Guest House,hotel,Hotel,B,abakpa,Abakpa,playable_faction,30,6.483458,7.520676,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ad8f433fc-1b43-49f8-86da-c915326c7677%5D%2FPOI_Picture1,,,
n_2455133050,Extension Eddybina Hotel,hotel,Hotel,B,unclaimed,Unclaimed area,unclaimed,36,6.477198,7.507806,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A4b4fe96a-68f6-432a-91af-e350e9a802e4%5D%2FPOI_Picture1,,,
n_2455133051,"Eye Theatre/Clinic, Children Out Patient Clinic/Gynae Ward, Enugu State Teaching Hospital",school,School,B,unclaimed,Unclaimed area,unclaimed,24,6.461798,7.493526,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Af113e2a3-0214-4c8e-ab9f-093abddbc916%5D%2FPOI_Picture1,,,
n_2455133053,Federal Road Safety Corps,civic,Civic,B,unclaimed,Unclaimed area,unclaimed,36,6.45059,7.482615,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ae6177a78-bf7e-4931-8d12-1a15774d4542%5D%2FPOI_Picture1,,,
n_2455133054,Federal mortgage bank,bank,Bank,B,unclaimed,Unclaimed area,unclaimed,0,6.44508725,7.488994,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Abee5e4d3-a191-4b9a-a7e0-72c4bee3e2f9%5D%2FPOI_Picture1,,,
n_2455133055,Fidelity Bank,atm,ATM,B,unclaimed,Unclaimed area,unclaimed,0,6.4592926,7.4955292,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A67b05889-867c-4ec0-96d9-e3ead29b8be1%5D%2FPOI_Picture1,,,
